ID,sta_seq,collect_date,chemparameter,value,uom,station_type,duplicate,name,ylat,xlong,sbasn,major,mbasn
175,14146,7/30/2013,Total Organic Carbon,2.5,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
176,14146,9/17/2013,Total Solids,166,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
177,14146,9/17/2013,Magnesium,7220,ppb,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
178,14146,9/17/2013,Ortho Phosphate,0.009,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
179,14146,9/17/2013,Total Kjeldahl Nitrogen,0.038,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
180,14146,9/17/2013,Organic Nitrogen,0.035,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
181,14146,9/17/2013,Turbidity,2.6,None,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
182,14146,7/30/2013,Total Suspended Solids,15,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
183,14146,7/30/2013,Chloride,37.2,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
184,14146,9/17/2013,Nitrite,NA,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
185,14146,7/30/2013,Total Phosphorus,0.024,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
186,14146,7/30/2013,Total Nitrogen,0.834,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
187,14146,9/17/2013,Chloride,28.4,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
188,14146,9/17/2013,Nitrate/Nitrite,0.518,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
189,14146,9/17/2013,Total Nitrogen,0.556,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
190,14146,7/30/2013,Calcium,25800,ppb,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
191,14146,7/30/2013,Alkalinity,67,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
192,14146,9/17/2013,Total Suspended Solids,5,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
193,14146,9/17/2013,Total Organic Carbon,2.4,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
194,14146,7/30/2013,Magnesium,8930,ppb,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
195,14146,9/17/2013,Hardness,81.8,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
196,14146,9/17/2013,Silica,12.976,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
197,14146,7/30/2013,Nitrate,0.672,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
198,14147,10/17/2012,Alkalinity,82,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
199,14147,9/15/2014,Total Organic Carbon,1.6,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
200,14147,9/15/2014,Total Kjeldahl Nitrogen,0.666,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
201,14147,9/15/2014,Alkalinity,87,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
202,14147,10/17/2012,Total Nitrogen,4.59,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
203,14147,10/17/2012,Turbidity,3.1,None,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
204,14147,10/17/2012,Nitrite,0.024,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
205,14147,9/15/2014,Chloride,37.8,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
206,14147,9/15/2014,Total Suspended Solids,29,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
207,14147,10/17/2012,Calcium,36600,ppb,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
208,14147,10/17/2012,Silica,14.325,ppm,River/Stream,0,Broad Brook,41.9147,-72.549,4206,Connecticut,4
